18:22::26:0022675,1586.71875,5.586
18:22::26:0022675,1586.75,5.57
18:22::26:0022675,1586.78125,5.556
18:22::26:4483907,1586.8125,5.552
18:22::26:4483907,1586.84375,5.548
18:22::26:4483907,1586.875,5.548
18:22::26:4483907,1586.90625,5.548
18:22::26:4483907,1586.9375,5.548
18:22::26:4483907,1586.96875,5.544
18:22::26:4483907,1587,5.544
18:22::26:4483907,1587.03125,5.542
18:22::26:4483907,1587.0625,5.522
18:22::26:4483907,1587.09375,5.528
18:22::26:4483907,1587.125,5.526
18:22::26:4483907,1587.15625,5.54
18:22::26:4483907,1587.1875,5.54
18:22::26:4483907,1587.21875,5.548
18:22::26:9071642,1587.25,5.546
18:22::26:9071642,1587.28125,5.546
18:22::26:9071642,1587.3125,5.54
18:22::26:9071642,1587.34375,5.536
18:22::26:9071642,1587.375,5.532
18:22::26:9071642,1587.40625,5.512
18:22::26:9071642,1587.4375,5.504
18:22::26:9071642,1587.46875,5.492
18:22::26:9071642,1587.5,5.486
18:22::26:9071642,1587.53125,5.492
18:22::26:9071642,1587.5625,5.498
18:22::26:9071642,1587.59375,5.492
18:22::26:9071642,1587.625,5.494
18:22::26:9071642,1587.65625,5.5
18:22::27:3543805,1587.6875,5.494
18:22::27:3543805,1587.71875,5.486
18:22::27:3543805,1587.75,5.5
18:22::27:3543805,1587.78125,5.494
18:22::27:3543805,1587.8125,5.496
18:22::27:3543805,1587.84375,5.492
18:22::27:3543805,1587.875,5.486
18:22::27:3543805,1587.90625,5.484
18:22::27:3543805,1587.9375,5.504
18:22::27:3543805,1587.96875,5.512
18:22::27:3543805,1588,5.502
18:22::27:3543805,1588.03125,5.494
18:22::27:3543805,1588.0625,5.49
18:22::27:3543805,1588.09375,5.492
18:22::27:7525830,1588.125,5.51
18:22::27:7525830,1588.15625,5.508
18:22::27:7525830,1588.1875,5.486
18:22::27:7525830,1588.21875,5.486
18:22::27:7525830,1588.25,5.476
18:22::27:7525830,1588.28125,5.476
18:22::27:7525830,1588.3125,5.476
18:22::27:7525830,1588.34375,5.466
18:22::27:7525830,1588.375,5.464
18:22::27:7525830,1588.40625,5.458
18:22::27:7525830,1588.4375,5.458
18:22::27:7525830,1588.46875,5.452
18:22::27:7525830,1588.5,5.468
18:22::27:7525830,1588.53125,5.472
18:22::28:2009156,1588.5625,5.466
18:22::28:2019132,1588.59375,5.468
18:22::28:2019132,1588.625,5.45
18:22::28:2019132,1588.65625,5.454
18:22::28:2019132,1588.6875,5.452
18:22::28:2019132,1588.71875,5.45
18:22::28:2019132,1588.75,5.436
18:22::28:2019132,1588.78125,5.432
18:22::28:2019132,1588.8125,5.43
18:22::28:2019132,1588.84375,5.434
18:22::28:2019132,1588.875,5.438
18:22::28:2019132,1588.90625,5.436
18:22::28:2019132,1588.9375,5.438
18:22::28:2019132,1588.96875,5.436
18:22::28:6477218,1589,5.442
18:22::28:6477218,1589.03125,5.444
18:22::28:6477218,1589.0625,5.446
18:22::28:6477218,1589.09375,5.45
18:22::28:6477218,1589.125,5.448
18:22::28:6477218,1589.15625,5.45
18:22::28:6477218,1589.1875,5.446
18:22::28:6477218,1589.21875,5.446
18:22::28:6477218,1589.25,5.436
18:22::28:6477218,1589.28125,5.45
18:22::28:6477218,1589.3125,5.45
18:22::28:6477218,1589.34375,5.446
18:22::28:6477218,1589.375,5.442
18:22::28:6477218,1589.40625,5.43
18:22::29:1000188,1589.4375,5.43
18:22::29:1000188,1589.46875,5.428
18:22::29:1000188,1589.5,5.424
18:22::29:1000188,1589.53125,5.406
18:22::29:1000188,1589.5625,5.412
18:22::29:1000188,1589.59375,5.408
18:22::29:1000188,1589.625,5.41
18:22::29:1000188,1589.65625,5.414
18:22::29:1000188,1589.6875,5.428
18:22::29:1000188,1589.71875,5.422
18:22::29:1000188,1589.75,5.428
18:22::29:1000188,1589.78125,5.428
18:22::29:1000188,1589.8125,5.422
18:22::29:1000188,1589.84375,5.418
18:22::29:4989799,1589.875,5.418
18:22::29:4989799,1589.90625,5.414
18:22::29:4989799,1589.9375,5.402
18:22::29:4989799,1589.96875,5.404
18:22::29:4989799,1590,5.412
18:22::29:4989799,1590.03125,5.41
18:22::29:4989799,1590.0625,5.408
18:22::29:4989799,1590.09375,5.416
18:22::29:4989799,1590.125,5.412
18:22::29:4989799,1590.15625,5.41
18:22::29:4989799,1590.1875,5.41
18:22::29:4989799,1590.21875,5.404
18:22::29:4989799,1590.25,5.394
18:22::29:4989799,1590.28125,5.398
18:22::29:9537989,1590.3125,5.406
18:22::29:9537989,1590.34375,5.394
18:22::29:9537989,1590.375,5.39
18:22::29:9537989,1590.40625,5.392
18:22::29:9537989,1590.4375,5.384
18:22::29:9537989,1590.46875,5.41
18:22::29:9537989,1590.5,5.418
18:22::29:9537989,1590.53125,5.404
18:22::29:9537989,1590.5625,5.394
18:22::29:9537989,1590.59375,5.39
18:22::29:9537989,1590.625,5.394
18:22::29:9537989,1590.65625,5.388
18:22::29:9537989,1590.6875,5.406
18:22::29:9537989,1590.71875,5.382
18:22::30:4006035,1590.75,5.366
18:22::30:4006035,1590.78125,5.37
18:22::30:4006035,1590.8125,5.386
18:22::30:4006035,1590.84375,5.392
18:22::30:4006035,1590.875,5.396
18:22::30:4006035,1590.90625,5.396
18:22::30:4006035,1590.9375,5.378
18:22::30:4006035,1590.96875,5.378
18:22::30:4006035,1591,5.376
18:22::30:4006035,1591.03125,5.378
18:22::30:4006035,1591.0625,5.362
18:22::30:4006035,1591.09375,5.358
18:22::30:4006035,1591.125,5.366
18:22::30:4006035,1591.15625,5.364
18:22::30:8672228,1591.1875,5.364
18:22::30:8677297,1591.21875,5.378
18:22::30:8677550,1591.25,5.378
18:22::30:8677550,1591.28125,5.38
18:22::30:8677550,1591.3125,5.376
18:22::30:8677550,1591.34375,5.398
18:22::30:8677550,1591.375,5.39
18:22::30:8677550,1591.40625,5.392
18:22::30:8677550,1591.4375,5.404
18:22::30:8677550,1591.46875,5.392
18:22::30:8677550,1591.5,5.396
18:22::30:8677550,1591.53125,5.396
